timestamp,cash,positions_value,equity,buying_power,realized_pnl,total_return_pct,open_positions
2026-07-10T10:59:17Z,5000.0,0,5000.0,5000.0,0.0,0.0,0
2026-07-10T11:00:24Z,3969.35,1030.0,4999.35,3969.35,0.0,-0.013,1
2026-07-10T11:01:35Z,2677.7,2321.0,4998.7,2677.7,0.0,-0.026,2
2026-07-10T11:01:46Z,3968.05,1030.0,4998.05,3968.05,-0.65,-0.039,1
2026-07-10T11:01:50Z,3468.4,1529.0,4997.4,3468.4,-0.65,-0.052,2
2026-07-10T11:02:01Z,2959.75,2037.0,4996.75,2959.75,-0.65,-0.065,3
2026-07-10T16:28:59Z,2959.75,2017.0,4976.75,2959.75,-0.65,-0.465,3
2026-07-13T16:39:51Z,2959.75,2125.0,5084.75,2959.75,-0.65,1.695,3
2026-07-14T15:36:50Z,2959.75,2023.0,4982.75,2959.75,-0.65,-0.345,3
2026-07-15T15:39:58Z,2959.75,2476.0,5435.75,2959.75,-0.65,8.715,3
2026-07-16T15:42:09Z,2959.75,2756.0,5715.75,2959.75,-0.65,14.315,3
2026-07-17T15:20:17Z,2959.75,3104.0,6063.75,2959.75,-0.65,21.275,3
2026-07-20T15:56:44Z,2959.75,2514.0,5473.75,2959.75,-0.65,9.475,3
2026-07-21T15:48:09Z,2959.75,2550.0,5509.75,2959.75,-0.65,10.195,3
2026-07-22T15:46:18Z,2959.75,2461.0,5420.75,2959.75,-0.65,8.415,3
2026-07-23T15:58:37Z,2959.75,2360.0,5319.75,2959.75,-0.65,6.395,3
2026-07-24T15:35:39Z,2959.75,2802.0,5761.75,2959.75,-0.65,15.235,3
2026-07-27T16:27:20Z,2959.75,3053.0,6012.75,2959.75,-0.65,20.255,3
2026-07-28T16:08:25Z,2959.75,3036.0,5995.75,2959.75,-0.65,19.915,3
2026-07-29T15:53:55Z,2959.75,3212.0,6171.75,2959.75,-0.65,23.435,3
2026-07-30T15:55:38Z,2959.75,2383.0,5342.75,2959.75,-0.65,6.855,3
2026-07-31T16:05:34Z,2959.75,698.0,3657.75,2959.75,-0.65,-26.845,3
2026-08-03T16:31:54Z,2959.75,625.0,3584.75,2959.75,-0.65,-28.305,3
2026-08-04T16:17:51Z,2959.75,682.0,3641.75,2959.75,-0.65,-27.165,3
2026-08-05T16:04:29Z,2959.75,1055.0,4014.75,2959.75,-0.65,-19.705,3
2026-08-07T15:01:27Z,2959.75,1167.0,4126.75,2959.75,-0.65,-17.465,3
2026-08-10T15:09:20Z,2959.75,714.0,3673.75,2959.75,-0.65,-26.525,3
2026-08-11T15:06:26Z,2959.75,600.87,3560.62,2959.75,-0.65,-28.7876,3
2026-08-12T15:05:16Z,2959.75,803.0,3762.75,2959.75,-0.65,-24.745,3
2026-08-13T15:04:45Z,2959.75,785.0,3744.75,2959.75,-0.65,-25.105,3
2026-08-14T14:59:57Z,2959.75,831.0,3790.75,2959.75,-0.65,-24.185,3
2026-08-17T14:35:51Z,2959.75,757.0,3716.75,2959.75,-0.65,-25.665,3
2026-08-18T14:41:03Z,2959.75,319.0,3278.75,2959.75,-0.65,-34.425,3
2026-08-19T14:41:42Z,2959.75,273.0,3232.75,2959.75,-0.65,-35.345,3
